"Parts List for Ohio Scientific Model 600 Rev D",,,,
"Jeff Tranter <tranter@pobox.com>",,,,
"04 Jan 2020",,,,
,,,,
"Designation","Qty","Description","Supplier","Comments"
"-",0,"Diode Bridge, KBPC602","n/a","Normally not installed"
"C1",0,"Capacitor, Electrolytic, 10,000 uF","n/a","Normally not installed"
"C2",0,"Capacitor, 0.01 uF","n/a","Normally not installed"
"C3",0,"Capacitor, ?","n/a","Normally not installed"
"C4",0,"Capacitor, Electrolytic, 33 uF","n/a","Normally not installed"
"C5",1,"Capacitor, Electrolytic, 47uF, 16V","any","Can use 33 uF"
"C6,C61,C65",3,"Capacitor 150 pF, 5%","any","Usually marked “151”"
"C7,C12,C55,C60",4,"Capacitor, 0.001 uF, 100V, 10%","any","Usually marked “102”"
"C8,C11",2,"Capacitor, 0.1 uF, 50V, 10%","any","Usually marked “104”"
"C9",1,"Capacitor, 68 pF, 5%","any","Usually marked “680” or “68”"
"C10,C13",2,"Capacitor, 0.01 uF, 100V, 10%","any","Usually marked “103”"
"C21-C30,C32-C33,C35-C54,C56,C58-C59",35,"Capacitor, 0.1 uF, 10V","any","Usually marked “104”"
"C57",1,"Capacitor, 27 pF, 1kV, 10%","any",
"C63",1,"Capacitor, Electrolytic, 35 uF","any",
"C64",1,"Capacitor, Electrolytic, 50 uF","any",
"R1-R8,R10-R12,R62,R76",13,"Resistor, 4700, 1/4W, 5%","any",
"R9,R38,R40,R42,R44,R46,R48,R51,R61",9,"Resistor, 220, 1/4W, 5%","any",
"R32,R52,R54,R59,R72,R86",5,"Resistor, 1000, 1/4W, 5%","any",
"R33-R34,R37,R50,R53,R55,R63,R66",10,"Resistor, 10K, 1/4W, 5%","any",
"R35-R36,R60,R68,R73",5,"Resistor, 470, 1/4W, 5%","any","Schematic shows two R73"
"R64-R65",2,"Resistor, 1000, ½W, 5%","any","Note ½ W"
"R39,R41,R43,R45,R47,R49",6,"Resistor, 390, 1/4W, 5%","any",
"R56,R78,R79,R84,R85",5,"Resistor, 100K, 1/4W, 5%","any",
